Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
nguaih,noun,"very dirty dirt, grease, or mud on body",très sale (corps),คราบไคลหนา,,คราบไคลหนา,x,vết bẩn dày trên người,身上極髒,shēn shàng jí zāng,san1 soeng6 gik6 zong1,,,,,,,,,,
niangv im nyei,adjective,very bitter,très amer,ขมมาก,,ขมมาก,x,rất đắng,極苦,jí kǔ,gik6 fu2,,,,,,,,,,
ninh mbuo,pronoun,they,ils,พวกเขา (they),,พวกเขา (they),x,họ,他们,tāmen,taa1 mun4,,,,,,,,,,
niouv,verb,to twist,tordre,บิด,,บิด,x,xoắn,扭/拧,niǔ/níng,nau2/ning2,,,,,,,,,,
niouv,verb,to wring,essorer,บิดผ้า,,บิดผ้า,x,vắt,拧干,níng gān,ning2 gon1,,,,,,,,,,
niouv,verb,to turn,tourner,หมุน,,หมุน,x,xoay,转,zhuǎn,zyun2,,,,,,,,,,
niouv ding,verb,to turn screw,visser,หมุนสกรู,,หมุนสกรู,x,vặn vít,拧螺丝,níng luó sī,ning2 lo4 si1,,,,,,,,,,
nitv nyienx,adjective,very chewy,très élastique,เหนียวหนึบมาก,,เหนียวหนึบมาก,x,rất dai,極韌,jí rèn,gik6 jan6,,,,,,,,,,
njeiv,adjective,sparkling,étincelant,ระยิบระยับ,,ระยิบระยับ,x,lấp lánh,閃爍,shǎnshuò,sim2 soek1,,,,,,,,,,
njoic,adjective,deaf,sourd,หูหนวก,,หูหนวก,x,điếc,聋,lóng,lung4,,,,,,,,,,
njomc,verb,to urge persistently,insister,เร่งเร้าอย่างต่อเนื่อง,,เร่งเร้าอย่างต่อเนื่อง,x,thúc giục kiên trì,持续敦促,chí xù dūn cù,ci4 zuk6 deon1 cuk1,,,,,,,,,,
njortc,verb,to wheeze,respirer avec sifflement,หายใจฟืดฟาด,,หายใจฟืดฟาด,x,thở khò khè,喘鸣,chuǎn míng,cyun2 ming4,,,,,,,,,,
njuonv,verb,to tremble,trembler,สั่นสะท้าน,,สั่นสะท้าน,x,run rẩy,发抖,fā dǒu,faat3 dau2,,,,,,,,,,
njuotv,adjective,deceitful,trompeur,หลอกลวง,,หลอกลวง,x,dối trá,欺诈的,qīzhà de,hei1 zaa3 dik1,,,,,,,,,,
njuotv,verb,to twist and turn,se tortiller,บิดไปมา,,บิดไปมา,x,xoắn và xoay,扭转,niǔ zhuǎn,nau2 zyun2,,,,,,,,,,
nokv hniev,adjective,very heavy,très lourd,หนักมาก,,หนักมาก,x,rất nặng,極重,jí zhòng,gik6 zung6,,,,,,,,,,
norng norng,noun,deep sound of large bell being rung or large gong being struck,son lourd de cloche,เสียงระฆังดังกังวาน,,เสียงระฆัง,x,响亮的钟声,浑厚的钟声,húnhòu de zhōngshēng,wan4 hau5 dik1 zung1 sing1,,,,,,,,,,
norqc muih,noun,decoy bird,oiseau de leurre,นกต่อ,,นกต่อ,x,chim mồi,诱鸟,yòuniǎo,jau5 niu5,,,,,,,,,,
nqangz,noun,deep sound of large dog barking,aboiement sourd,เสียงหมาเห่าทุ้มๆ,,เสียงหมาเห่า,x,tiếng chó sủa trầm,低沉的狗叫声,dīchén de gǒujiàoshēng,dai1 cam4 dik1 gau2 giu3 sing1,,,,,,,,,,
nqopv,verb,to turn upside down,renverser,คว่ำลง,,คว่ำลง,x,lật ngược,倒转/颠倒,dào zhuǎn/diān dǎo,dou2 zyun2/din1 dou2,,,,,,,,,,
nqopv,verb,to turn over,retourner,พลิก,,พลิก,x,lật lại,翻转,fān zhuǎn,faan1 zyun2,,,,,,,,,,
nqopv caeng,verb,to turn pot upside down,renverser un pot,คว่ำหม้อ,,คว่ำหม้อ,x,úp nồi,扣锅,kòu guō,kau3 wo1,,,,,,,,,,
nqopv jienv gu'nguaaic,verb,to turn over on top of,se retourner sur,พลิกทับด้านบน,,พลิกทับด้านบน,x,lật úp lên trên,翻转在上面,fān zhuǎn zài shàng mian,faan1 zyun2 zoi6 soeng6 min6,,,,,,,,,,
nqopv yienv,verb,to turn bowl upside down,renverser un bol,คว่ำชาม,,คว่ำชาม,x,úp bát,扣碗,kòu wǎn,kau3 wun2,,,,,,,,,,
nung,noun,dead or castoff layer of snake's skin,mue de serpent,คราบงู,,คราบงู,x,xác rắn,蛇蜕,shétuì,se4 teoi3,,,,,,,,,,
nyaiv daic,adjective,very embarrassing,très embarrassant,น่าอับอายมาก,,น่าอับอายมาก,x,rất xấu hổ,極尷尬,jí gān gà,gik6 gaam1 gaai3,,,,,,,,,,
nyanh,verb,to tremble,trembler,สั่นสะท้าน,,สั่นสะท้าน,x,run rẩy,发抖,fā dǒu,faat3 dau2,,,,,,,,,,
nyatc,verb,to twitch,avoir un tic,กระตุก,,กระตุก,x,co giật,抽搐,chōu chù,cau1 cuk1,,,,,,,,,,
nyaux,verb,to wilt,se flétrir,เหี่ยวเฉา,,เหี่ยวเฉา,x,héo úa,枯萎,kū wěi,fu1 wai2,,,,,,,,,,
nyaux,verb,to wither,se flétrir,เหี่ยวเฉา,,เหี่ยวเฉา,x,héo rũ,枯萎,kū wěi,fu1 wai2,,,,,,,,,,
nyaux,verb,to wrinkle up,se rider,ยับย่น,,ยับย่น,x,nhăn nheo,起皱,qǐ zhòu,hei2 zau3,,,,,,,,,,
nyiemv,verb,to weep,pleurer,ร้องไห้,,ร้องไห้,x,khóc,哭泣,kū qì,huk1 jap1,,,,,,,,,,
nyiuh,verb,to twist,tordre,บิด,,บิด,x,xoắn,扭/拧,niǔ/níng,nau2/ning2,,,,,,,,,,
nyiuh faaux,verb,to turn up at the end,retrousser,กระดกปลายขึ้น,,กระดกปลายขึ้น,x,vểnh lên ở cuối,末端翘起,mò duān qiào qǐ,mut6 dyun1 hiu3 hei2,,,,,,,,,,
nyiuh zuqc,verb,to wiggle,remuer,ดิ้น/ขยับไปมา,,ดิ้น,x,ngọ nguậy,扭动,niǔ dòng,nau2 dung6,,,,,,,,,,
nyomx,verb,to winnow,vanner,ฝัด,,ฝัด,x,sàng/sảy,簸/簸去,bò/bò qù,bo3/bo3 heoi3,,,,,,,,,,
nyomx cuqv,verb,to winnow unmilled rice to separate full grains from empty hulls,vanner le riz non moulu,ฝัดข้าวเปลือกเพื่อแยกกาก,,ฝัดข้าวเปลือก,x,sảy lúa để tách trấu,簸稻谷以分离,bò dào gǔ yǐ fēn lí,bo3 dou6 guk1 ji5 fan1 lei4,,,,,,,,,,
nzaeng,verb,to withhold,refuser de donner,ระงับไว้/ไม่ให้,,ระงับ,x,giữ lại/không cho,扣留/拒给,kòu liú/jù gěi,kau3 lau4/keoi5 kap1,,,,,,,,,,
nzauh heix,verb,to worry,s'inquiéter,กังวล,,กังวล,x,lo lắng,担心/发愁,dān xīn/fā chóu,daam1 sam1/faat3 sau4,,,,,,,,,,
nzauh yieqv,noun,deep sorrow,profonde tristesse,ความเศร้าโศกเสียใจ,,ความเศร้าโศกเสียใจ,x,nỗi buồn sâu thẳm,深切悲痛,shēnqiè bēitòng,sam1 cit3 bei1 tung3,,,,,,,,Literary,,
nzenc,verb,to wind,enrouler,พัน/ม้วน,,พัน,x,quấn,缠绕/卷,chán rào/juǎn,cin4 jiu5/gyun2,,,,,,,,,,
nzepv,verb,to withhold,refuser de donner,ระงับไว้/ไม่ให้,,ระงับ,x,giữ lại/không cho,扣留/拒给,kòu liú/jù gěi,kau3 lau4/keoi5 kap1,,,,,,,,,,
nziaaux nzuonx daaih,verb,to turn right side up,remettre à l'endroit,หงายขึ้น,,หงายขึ้น,x,lật ngửa lên,翻回正面/朝上,fān huí zhèng miàn/cháo shàng,faan1 wui4 zing3 min6/ciu4 soeng6,,,,,,,,,,
nziang,verb,to weigh,peser,ชั่งน้ำหนัก,,ชั่งน้ำหนัก,x,cân,称重,chēng zhòng,cing1 cung5,,,,,,,,,,
nzien,verb,to turn over,retourner,พลิก,,พลิก,x,lật lại,翻转,fān zhuǎn,faan1 zyun2,,,,,,,,,,
nzien jiex yietc pin,verb,to turn over page,tourner une page,พลิกหน้า,,พลิกหน้า,x,lật trang,翻页,fān yè,faan1 jip6,,,,,,,,,,
nzioux,verb,to whet,aiguiser,ลับมีด,,ลับมีด,x,mài,磨/磨快,mó/mó kuài,mo4/mo4 faai3,,,,,,,,,,
nzorqv-ndiangx,noun,deceased parents,parents décédés,พ่อแม่ที่เสียชีวิต,,พ่อแม่ที่เสียชีวิต,x,cha mẹ đã khuất,亡父母,wáng fùmǔ,mong4 fu6 mou5,Literal: missing tree.,Littéral : arbre manquant.,ความหมายโดยนัย: ต้นไม้ที่หายไป,ຄວາມໝາຍຕາມຕົວອັກສອນ: ຕົ້ນໄມ້ທີ່ເສຍໄປ,Nghĩa đen: cái cây bị mất,字面意思：缺失的树,,Euphemism,,
nzutv,verb,to wrap up in tight bundle,emballer fermement,ห่อเป็นมัดแน่น,,ห่อมัดแน่น,x,gói thành bó chặt,包成紧捆,bāo chéng jǐn kǔn,baau1 sing4 gan2 kwan2,,,,,,,,,,
nzutv lai,verb,to wrap up vegetables or food in bundle,envelopper des légumes,ห่อผักหรืออาหารเป็นมัด,,ห่อผัก,x,gói rau hoặc thức ăn thành bó,把蔬菜包裹成捆,bǎ shū cài bāo guǒ chéng kǔn,baa2 so1 coi3 baau1 gwo2 sing4 kwan2,,,,,,,,,,
nzutv zunv,verb,to wrap or pack together,emballer ensemble,ห่อหรือแพ็ครวมกัน,,ห่อรวมกัน,x,gói lại cùng nhau,捆扎在一起,kǔn zhā zài yī qǐ,kwan2 zaat3 zoi6 jat1 hei2,,,,,,,,,,
ong-ong nyei,adjective,very large,très grand,ใหญ่มาก,,ใหญ่มาก,x,rất lớn,極大,jí dà,gik6 daai6,,,,,,,,,,
orqv,adjective,evil,mauvais,เลว,,เลว,x,xấu,坏,huài,waai6,,,,,,,,,,
ox,verb,to trouble without cause,déranger sans cause,หาเรื่อง,,หาเรื่อง,x,gây sự vô cớ,无端惹事,wú duān rě shì,mou4 dyun1 je5 si6,,,,,,,,,,
paaix,verb,to undergo surgery,subir une intervention chirurgicale,เข้ารับการผ่าตัด,,เข้ารับการผ่าตัด,x,phẫu thuật,接受手术,jiē shòu shǒu shù,zip3 sau6 sau2 seot6,,,,,,,,,,
paangh,noun,deck (of house),terrasse,ระเบียง,,ระเบียง,x,hiên nhà,露台,lùtái,lou6 toi4,,,,,,,,,,
paanv,verb,to wrap or wind around loosely,enrouler lâchement,พันรอบหลวมๆ,,พันหลวมๆ,x,quấn lỏng quanh,松散缠绕,sōng sǎn chán rào,sung1 saan2 cin4 jiu5,,,,,,,,,,
paanx,verb,to wind crossed over,enrouler en croisant,พันไขว้กัน,,พันไขว้,x,quấn chéo,交叉缠绕,jiāo chā chán rào,gaau1 caa1 cin4 jiu5,,,,,,,,,,
paetv zaamv,adjective,very bland,très fade,จืดชืดมาก,,จืดชืดมาก,x,rất nhạt,極淡,jí dàn,gik6 daam6,,,,,,,,,,
pai,verb,to write,écrire,เขียน,,เขียน,x,viết,写/书写,xiě/shū xiě,se2/syu1 se2,,,,,,,,Literary,,
pai,verb,to trim off,couper,เล็มออก,,เล็มออก,x,tỉa bớt,剪掉,jiǎn diào,zin2 diu6,,,,,,,,,,
pan,verb,to turn end over end,culbuter,กลับหัวกลับหาง,,กลับหัวกลับหาง,x,lật ngược đầu đuôi,颠倒地转,diān dǎo de zhuǎn,din1 dou2 dei6 zyun2,,,,,,,,,,
pien,verb,to twist the truth,déformer la vérité,บิดเบือนความจริง,,บิดเบือนความจริง,x,xuyên tạc sự thật,扭曲事实,niǔ qū shì shí,nau2 kuk1 si6 sat6,,,,,,,,,,
pongx,verb,to wrap around,s'enrouler autour,พันรอบ,,พันรอบ,x,quấn quanh,围绕,wéi rào,wai4 jiu5,,,,,,,,,,
pou,verb,to unroll,dérouler,คลี่ออก,,คลี่ออก,x,mở ra,展开,zhǎn kāi,zin2 hoi1,,,,,,,,Literary,,
pou ziqc,verb,to unroll mat,dérouler une natte,คลี่เสื่อ,,คลี่เสื่อ,x,trải chiếu,铺开席子,pū kāi xí zi,pou1 hoi1 zek6 zi2,,,,,,,,,,
qaamv,adjective,deep and narrow with steep sides,profond et étroit,ลึกและแคบ,,ลึกและแคบ,x,sâu và hẹp,深窄,shēnzǎi,sam1 zaap3,,,,,,,,,,
qam,verb,to wrap arms around,enlacer,โอบกอด,,กอด,x,ôm vòng tay,拥抱,yōng bào,jung2 pou5,,,,,,,,,,
qangv,adjective,strong,แรง,ແຮງ,,khỏe,x,有力,yǒu lì,jau5 lik6,,,,,,,,,Literary,,
qiemx zaeqv mienh,noun,debtor,débiteur,ลูกหนี้,,ลูกหนี้,x,con nợ,债务人,zhàiwùrén,zaai3 mou6 jan4,,,,,,,,,,
qorkv,noun,chalk,calcaire,หินปูน,,หີນປູນ,x,đá vôi,石灰,shí huī,sek6 fui1,,,,,,,,,,
qou,verb,to wiggle,remuer,ดิ้น/ขยับไปมา,,ดิ้น,x,ngọ nguậy,扭动,niǔ dòng,nau2 dung6,,,,,,,,,,
saamx,verb,to well up,jaillir/sourdre,พุ่งขึ้นมา,,พุ่งขึ้นมา,x,dâng trào,涌出,yǒng chū,jung2 ceot1,,,,,,,,,,
sai,verb,to wrap around the waist or circumference,s'enrouler autour de la taille,พันรอบเอว,,พันรอบเอว,x,quấn quanh eo,缠绕腰间,chán rào yāo jiān,cin4 jiu5 jiu1 gaan1,,,,,,,sai houz-hlaang: to put on belt,,,
sai jienv la'sin,verb,to wrap on waist sash,mettre une ceinture,พันผ้าคาดเอว,,พันเอว,x,quấn khăn trùm eo,扎腰带,zhā yāo dài,zaat3 jiu1 daai2,,,,,,,,,,
sapv,verb,to whisper,chuchoter,กระซิบ,,กระซิบ,x,thì thầm,低声耳语,dī shēng ěr yǔ,dai1 sing1 ji5 jyu5,,,,,,,,,,
seix,verb,to try out,essayer,ทดลอง,,ทดลอง,x,thử nghiệm,试用,shì yòng,si3 jung6,,,,,,,,,,
seix,verb,to try,essayer,ลอง,,ลอง,x,thử,尝试,cháng shì,soeng4 si3,,,,,,,,,,
seix gaax,verb,to try it,l'essayer,ลองดู,,ลองดู,x,thử nó,试试看,shì shì kàn,si3 si3 hon3,,,,,,,,,,
seix maengc,verb,to try one's luck,tenter sa chance,เสี่ยงโชค,,เสี่ยงโชค,x,thử vận may,凭运气试试,píng yùn qi shì shi,pang4 wan6 hei6 si3 si3,,,,,,,,,,
seix mangc gaax,verb,to try something out,essayer quelque chose,ลองทำบางอย่าง,,ลองทำบางอย่าง,x,thử làm gì đó,尝试做某事,cháng shì zuò mǒu shì,soeng4 si3 zou6 mau5 si6,,,,,,,,,,
sekv guv nzieqc,adjective,dead silent,silence de mort,เงียบกริบ,,เงียบกริบ,x,im phăng phắc,死寂,sǐjì,sei2 zik6,,,,,,,,,,
sekv-sekv nyei muangx,verb,to listen quietly,écouter tranquillement,ฟังเงียบๆ,,ฟังງຽບໆ,x,nghe yên lặng,靜聽,jìng tīng,zing6 ting1,,,,,,,,,,
seu,verb,to trim with scissors by cutting at angle to make narrower,couper aux ciseaux,เล็มด้วยกรรไกร,,เล็มด้วยกรรไกร,x,tỉa bằng kéo,用剪刀修剪,yòng jiǎn dāo xiū jiǎn,jung6 zin2 dou1 sau1 zin2,,,,,,,,,,
seu cuotv,verb,to trim off,couper,เล็มออก,,เล็มออก,x,tỉa bớt,剪掉,jiǎn diào,zin2 diu6,,,,,,,,,,
siangx,verb,to worship,adorer,บูชา,,บูชา,x,thờ phụng,崇拜/祭拜,chóng bài/jì bài,sung4 baai3/zai3 baai3,,,,,,,,,,
siem,adjective,deep,profond,ลึก,,ลึก,x,sâu,深,shēn,sam1,,,,,,,,Literary,,
siem-zingh,noun,deep distress which has been experienced,détresse profonde,ความทุกข์อย่างหนัก,,ความทุกข์อย่างหนัก,x,đau khổ tột cùng,深受痛苦,shēnshòu tòngkǔ,sam1 sau6 tung3 fu2,,,,,,,,,,
sinx,verb,to winnow (grain),vanner le grain,ฝัดข้าว,,ฝัดข้าว,x,sảy hạt,簸谷,bò gǔ,bo3 guk1,,,,,,,,,,
sortv,verb,to wipe off,essuyer,เช็ดออก,,เช็ดออก,x,lau sạch,擦掉,cā diào,caat3 diu6,,,,,,,,,,
sortv dieh,verb,to wipe off table,essuyer la table,เช็ดโต๊ะ,,เช็ดโต๊ะ,x,lau bàn,擦桌子,cā zhuō zi,caat3 zoek3 zi2,,,,,,,,,,
sortv guangc,verb,to wipe off,essuyer,เช็ดออก,,เช็ดออก,x,lau sạch,擦掉,cā diào,caat3 diu6,,,,,,,,,,
sortv nqaai,verb,to wipe dry,essuyer pour sécher,เช็ดให้แห้ง,,เช็ดให้แห้ง,x,lau khô,擦干,cā gān,caat3 gon1,,,,,,,,,,
sortv wuom-mueic,verb,to wipe away tears,essuyer les larmes,เช็ดน้ำตา,,เช็ดน้ำตา,x,lau nước mắt,擦去泪水,cā qù lèi shuǐ,caat3 heoi3 leoi6 seoi2,,,,,,,,,,
sungv,verb,to whack (with one or many strokes),frapper d'un coup,ตี (ครั้งเดียวหรือหลายครั้ง),,ตี,x,đập mạnh,猛打,měng dǎ,maang5 daa2,,,,,,,,,,
sunx,verb,to whittle (making shape and smoothing it off),tailler et polir,เหลาให้เป็นรูปทรงและเรียบ,,เหลาให้เรียบ,x,gọt nhẵn,削平/削光,xiāo píng/xiāo guāng,soek3 ping4/soek3 gwong1,,,,,,,,,,
sunx forng,verb,to whittle arrow,tailler une flèche,เหลาลูกธนู,,เหลาลูกธนู,x,gọt mũi tên,削箭,xiāo jiàn,soek3 zin3,,,,,,,,,,
sunx zouc,verb,to whittle chopsticks,tailler des baguettes,เหลาตะเกียบ,,เหลาตะเกียบ,x,gọt đũa,削筷子,xiāo kuài zi,soek3 faai3 zi2,,,,,,,,,,
suz,adjective,very hairy or very bushy,très poilu,ขนดกมาก,,ขนดกมาก,x,rất rậm rạp,極多毛,jí duō máo,gik6 do1 mou4,,,,,,,,,,
taan ziqc,verb,to unroll mat,dérouler une natte,คลี่เสื่อ,,คลี่เสื่อ,x,trải chiếu,铺开席子,pū kāi xí zi,pou1 hoi1 zek6 zi2,,,,,,,,,,
taatv,adjective,scraped or skinned,écorché,ถลอก,,ถະລອກ,x,bị trầy xước,擦伤的,cāshāng de,caat3 soeng1 dik1,,,,,,,,,,
tau,verb,"to urge strongly, beg, press or plead for action",insister fortement/prier,วิงวอน/รบเร้าอย่างหนัก,,วิงวอน/รบเร้าอย่างหนัก,x,thúc giục mạnh mẽ/năn nỉ,苦苦哀求/敦促,kǔ kǔ āi qiú/dūn cù,fu2 fu2 oi1 kau4/deon1 cuk1,,,,,,,,,,
tau mienh maaiz,verb,to urge someone to buy something,pousser à l'achat,คะยั้นคะยอให้ซื้อ,,คะยั้นคะยอให้ซื้อ,x,thúc giục ai mua đồ,促使某人购买某物,cù shǐ mǒu rén gòu mǎi mǒu wù,cuk1 si2 mau5 jan4 kau3 maai5 mau5 mat6,,,,,,,,,,
tau mienh maaiz,verb,to try to push something off on buyer,tenter de repousser,พยายามปัดความรับผิดชอบ,,พยายามปัดความรับผิดชอบ,x,cố gắng đùn đẩy trách nhiệm,试图推卸给他人,shì tú tuī xiè gěi tā rén,si3 tou4 teoi1 se3 kap1 taa1 jan4,,,,,,,,,,
to,adjective,"very dull, blunt, or worn down",très émoussé,ทื่อมาก,,ทื่อมาก,x,rất cùn,極鈍,jí dùn,gik6 deon6,,,,,,,,,,
tong toux,verb,to understand thoroughly,comprendre parfaitement,เข้าใจอย่างถ่องแท้,,เข้าใจอย่างถ่องแท้,x,hiểu thấu đáo,透彻理解,tòu chè lǐ jiě,tau3 cit3 lei5 gaai2,,,,,,,,,,
tuix,verb,to withdraw from,se retirer de,ถอนตัวจาก,,ถอนตัวจาก,x,rút khỏi,从中撤出,cóng zhōng chè chū,cung4 zung1 cit3 ceot1,,,,,,,,,,
tuix baeng,verb,to withdraw troops,retirer les troupes,ถอนทหาร,,ถอนทหาร,x,rút quân,撤军,chè jūn,cit3 gwan1,,,,,,,,,,
tuix horqc,verb,to withdraw from or drop out of school,quitter l'école,ลาออกหรือออกจากโรงเรียน,,ออกจากโรงเรียน,x,thôi học,退学,tuì xué,teoi3 hok6,,,,,,,,,,
